,text,created_date,latitude,longitude,retweet,polarity,pol_value,followers,location
83,"RT @thecaravanindia: #ModiMeter | In 2014, the BJP promised to support and aid voluntary organisations working for the care of the disabled…",2019-04-24 11:30:57,,,45248,Neutral,0.0,3898,World
84,"RT @thecaravanindia: #ModiMeter | In 2014, the BJP promised to support and aid voluntary organisations working for the care of the disabled…",2019-04-24 11:30:51,,,9213,Neutral,0.0,144,Earth
85,"#ModiMeter | In 2014, the BJP promised to support and aid voluntary organisations working for the care of the disab… https://t.co/PgMT5gtyV3",2019-04-24 11:30:00,,,247,Neutral,0.0,196424,New Delhi
86,@abpnewstv To take their TRPs high and his also....!!  #Elections2019 #ElectionCommissionOfIndia #BJPManifesto,2019-04-24 11:14:02,,,102,Positive,0.25,21,"Hyderabad, India"
87,"Vote for change!!!!!
Namo again......
@BJP4India
@narendramodi
@AmitShah
#BJP #BJPManifesto #change #AayegaToModiHi… https://t.co/SPa2kJYI2n",2019-04-24 10:44:26,,,331,Neutral,0.0,18,Jaipur
88,"https://t.co/CbUM0TNX3U

must watch makes valid point

#BharatKaGarvModi 
#BJPManifesto 
#Congress 
#IndianElections2019",2019-04-24 10:28:44,,,85,Neutral,0.0,9,
89,RT @madhulikaji: #BJPManifesto इस ready read it one by one this इस nothing but  a #BJPJumlaManifesto https://t.co/roH6YVJxQX,2019-04-24 10:09:27,,,35614,Positive,0.2,428,"New Delhi, India"
90,@Sadhvi_PragyaS we all knw who the martyr hemant karkare was. We don't want to know from accused #terrorist. You sh… https://t.co/OuTuc5vT5Z,2019-04-24 08:40:54,,,25,Neutral,0.0,31,
91,"#shashitharoor How can we know that EVM is haked?
As you have said, you press any button but vote goes to BJP in Ke… https://t.co/n4kJ3cRpZQ",2019-04-24 07:50:29,,,23,Neutral,0.0,28,Delhi
92,Despite his mismanagement of economy and governance .@narendramodi surely knows to manage and glorify his image… https://t.co/yz7IZv4Gwc,2019-04-24 07:35:53,,,143,Highly Positive,0.5,30,"New Delhi, India"
93,"RT @veer1628: Vande Maatram !
JAI HIND!
Why Secularism for Only Hindus ..

#VoteForIndia  #NamoForNewIndia #ModiOnceMore #IndiaElections201…",2019-04-24 07:03:05,,,12,Neutral,0.0,10,and
94,RT @daily_pol1: WHO WILL BECOME THE PRIME MINISTER OF INDIA AFTER #2019LokSabhaElections ?#PhirEKBaarModiSarkaar #NarendraModi #Modi #Rahul…,2019-04-24 06:59:05,,,514,Neutral,0.0,18,vis
95,RT @devopriya: Abrogation of article 370 and anulling article 35a #BJPSankalpPatr2019 #BJPManifesto #BJP4India #PhirEKBaarModiSarkar @BJP4I…,2019-04-24 06:58:46,,,515,Neutral,0.0,18,vis
96,RT @yashtyagi7777: I pledge to bring more than 20 voters who will vote for @narendramodi ji not only in this election but in every election…,2019-04-24 06:58:08,,,542,Positive,0.25,18,vis
97,@INCIndia @PMOIndia @rajnathsingh @RahulGandhi @yadavakhilesh @mayogiadityanath @ptshrikant #BJPManifesto… https://t.co/kpGVGr7Xbg,2019-04-24 06:02:45,,,4,Neutral,0.0,2,
98,"RT @nit_set: #Jumla After drying up funds for drinking water scheme over last five years, Modi repackages a  2014 promise in #BJPManifesto…",2019-04-24 05:57:47,,,25891,Neutral,0.0,650,India
99,"RT @satyakumar_y: #BJPSankalpPatr2019 

Like Shri @arunjaitley ji mentioned during the #BJPManifesto address that #Modi govt has set a prec…",2019-04-24 05:45:56,,,44,Neutral,0.0,1,
100,Perhaps there will be no ‘environment messiah’ and all that will work is a system of reward and punishment on gover… https://t.co/3Erw4UPoNc,2019-04-24 05:44:48,,,697,Neutral,0.0,1507,New Delhi
101,RT @KirronKherBJP: #BJPManifesto in the avtaar of #BJPSankalpPatr2019 is a living legend of what a #manifesto should be like of a political…,2019-04-24 05:37:26,,,330,Neutral,0.0,27,
102,"RT @DrAmol27: Congress in ICU with Supporter😬😤😬
#BJPSankalpPatr2019 #CongressManifesto #CongressChorHai 
#BJPManifesto #BJP4India https://t…",2019-04-24 05:15:57,,,560,Neutral,0.0,18,vis
103,"RT @SuyashHR: @narendramodi We are proud of you Sir. @INCIndia I challenge pappu to show this popularity.. @narendramodi despite all odds
#…",2019-04-24 05:08:04,,,517,Highly Positive,0.8,18,vis
104,#electionintegrity #BJPManifesto #CongressManifesto Today morning it was appalling to hear political party ads on r… https://t.co/O0p1LcKKhP,2019-04-24 05:05:05,,,291,Negative,-0.17,116,"Bengaluru, India"
105,RT @dr_rita39: This #Election #Election2019 #BJPManifesto #BJP4India #PragyaSinghThakur #TerroristIndia #TerroristPragya is stripping off a…,2019-04-24 05:01:18,,,519,Neutral,0.0,18,vis
106,"RT @ganwani_kamal: Bjp Rally 
.
#BJPSankalpPatr2019 #BJPManifesto #BJP #bjpforindia #BJP4India https://t.co/3C3eJyk0kj",2019-04-24 04:52:25,,,524,Neutral,0.0,18,vis
107,"RT @varunpuri1984: India needs more doctors to cater to its population. To provide adquate and quality healthcare services, the BJP will se…",2019-04-24 03:55:36,,,205,Highly Positive,0.5,0,
108,"RT @cskkanu: @RenukaJain6 @narendramodi Change your #BjpManifesto and include #MensCommission and #Scrap498A 

We will give you lakhs of vo…",2019-04-24 02:29:26,,,404,Neutral,0.0,13,
109,"RT @Hariindic: Congress + DMK IT cells by spreading fake info on #BJPManifesto accepts their defeat even before the polls 😂

Morons by phot…",2019-04-24 02:04:17,,,717,Highly Negative,-0.65,347,uk
110,"RT @YashSinghINC: Best wishes and Greetings to 
@nsui on #NSUIFoundationDay 
#48YearsOfNSUi. #BJPManifesto  is a commission agents programm…",2019-04-23 22:57:38,,,69,Highly Positive,1.0,2,With #India | With #Congress
111,RT @OpIndia_com: We will start a separate 'Jal Shakti Mantralay' for optimum utilisation of water. There was a time when people would put u…,2019-04-23 21:38:37,,,703,Highly Positive,0.7,133,"Huntsville, AL"
112,The politics weaved around it by BJP over cow vigilantism । Raj Thackera... https://t.co/G1Y481LeDm via @YouTube… https://t.co/9LJmvqkldj,2019-04-23 20:47:24,,,19,Negative,-0.13,11,India
113,"RT @SandipGhose: #BJPManifesto #BJP does well not to get into ""intellectual upmanship"" or competitive populism with Congress. #BJPSankalpPa…",2019-04-23 18:19:53,,,537,Positive,0.3,102,Feet of the Nehru family
114,"RT @SandipGhose: #BJPManifesto #BJP does well not to get into ""intellectual upmanship"" or competitive populism with Congress. #BJPSankalpPa…",2019-04-23 18:18:17,,,39580,Positive,0.3,88141,"Mumbai, India"
115,"RT @cskkanu: @RenukaJain6 @narendramodi Change your #BjpManifesto and include #MensCommission and #Scrap498A 

We will give you lakhs of vo…",2019-04-23 17:25:35,,,2738,Neutral,0.0,1582,USA
116,"RT @myogiadityanath: #BJPManifesto reflects PM Sri @narendramodi‘s vision of making of नया भारत, संकल्पित भारत, सशक्त भारत by catapulting I…",2019-04-23 17:19:05,,,38179,Neutral,0.0,886,India
117,"RT @myogiadityanath: In right earnest, #BJPManifesto promises to scrap Article 370 that gives special status to Jammu &amp; Kashmir, and annul…",2019-04-23 17:19:02,,,38475,Positive,0.32,886,India
118,"This official SHOCKING news expose #BJP policy vs public

#BJP has been slapping public with giving incentives to t… https://t.co/5OYJ4DWsrD",2019-04-23 16:01:23,,,23508,Negative,-0.33,528,"Mumbai, Delhi, London"
119,"RT @JishnuTimes: Your Vote ? 

#VotingRound3
#VoteKar #VoteForChange #VoteForIndia #AayegaToModiHi 
#BharatBoleNaMoNaMo
#EveryVoteForModi #…",2019-04-23 15:59:04,,,3494,Neutral,0.0,60,
120,"""Good performance invites the curse of heightened expectations unless tempered by realism. The #BJPManifesto fails… https://t.co/p6ZpI5NHqE",2019-04-23 14:30:00,,,271,Highly Positive,0.7,40528,India
121,"@RahulGandhi One promise has remained common in all the BJP Manifestos since the past 23 years -

1996: Ram Mandir… https://t.co/4CFuF21e1P",2019-04-23 14:07:27,,,71,Negative,-0.28,2,"Aligarh, India"
122,"RT @thecaravanindia: #ModiMeter | In 2014, the BJP promised to give everyone a Pucca house by 2014. What happened? 
Find out here: https://…",2019-04-23 12:38:00,,,878,Neutral,0.0,52,"Ahmadabad City, India"
123,"#manifesto2019 #CongressManifesto #BJPManifesto Environmental issues , climate change,Swatchata, law and order , wo… https://t.co/JwSdf6erUP",2019-04-23 12:09:49,,,2476,Neutral,0.0,183,
124,"RT @JishnuTimes: Your Vote ? 

#VotingRound3
#VoteKar #VoteForChange #VoteForIndia #AayegaToModiHi 
#BharatBoleNaMoNaMo
#EveryVoteForModi #…",2019-04-23 11:48:21,,,859,Neutral,0.0,1858,Kuwait
125,"RT @thecaravanindia: #ModiMeter | In 2014, the Modi Government promised to provide free wifi in public zones. What happened?
https://t.co/o…",2019-04-23 11:28:01,,,173,Positive,0.2,126,"Quran,solution of humanity"
126,"#ModiMeter | In 2014, the BJP promised to give everyone a Pucca house by 2014. What happened? 
Find out here:… https://t.co/yer1d5mE12",2019-04-23 10:30:00,,,241,Neutral,0.0,196424,New Delhi
127,"RT @thecaravanindia: #ModiMeter | In 2014, the Modi Government promised to provide free wifi in public zones. What happened?
https://t.co/o…",2019-04-23 10:15:54,,,881,Positive,0.2,52,"Ahmadabad City, India"
128,"RT @dhruv_rathee: One promise has remained common in all the BJP Manifestos since the past 23 years -

1996: Ram Mandir
1998: Ram Mandir
20…",2019-04-23 10:08:50,,,98497,Negative,-0.28,1874,India & GCC
129,RT @m4news2: Support to PM Modi from Houston . Enthusiasm  is very high for the modi government. I am very sure that we are going  to win a…,2019-04-23 09:41:55,,,3965,Highly Positive,0.55,587,"महाराष्ट्र, भारत"
130,"RT @dhruv_rathee: One promise has remained common in all the BJP Manifestos since the past 23 years -

1996: Ram Mandir
1998: Ram Mandir
20…",2019-04-23 09:33:20,,,22723,Negative,-0.28,2774,"Mysore, India"
131,"RT @thecaravanindia: #ModiMeter | In 2014, the Modi Government promised to provide free wifi in public zones. What happened?
https://t.co/o…",2019-04-23 09:03:32,,,32271,Positive,0.2,8965,"Frankfurt am Main, Deutschland"
132,RT @OpIndia_com: We will start a separate 'Jal Shakti Mantralay' for optimum utilisation of water. There was a time when people would put u…,2019-04-23 08:10:48,,,757,Highly Positive,0.7,347,uk
133,"RT @thecaravanindia: #ModiMeter | In 2014, the Modi Government promised to provide free wifi in public zones. What happened?
https://t.co/o…",2019-04-23 07:47:26,,,9276,Positive,0.2,1228,Zameen Par
