,text,created_date,latitude,longitude,retweet,polarity,pol_value
58,@aajtak @anjanaomkashyap Don't want BJP again,2019-04-28 00:59:45,,,0,Neutral,0.0
59,"RT @AmitShah: Seven highly decorated retired officers of Indian Armed Forces joined the BJP. I welcome them into the party fold.

This trus…",2019-04-28 00:59:44,,,2197,Positive,0.48
60,"Congress complains EC over wrong BJP symbol in Bengal

https://t.co/nLLjXysM3Y",2019-04-28 00:59:43,,,0,Highly Negative,-0.5
61,"RT @narendramodi: Thank you Kannauj and Hardoi for the unparalleled warmth. 

The first three phases have made SP, BSP and Congress very ne…",2019-04-28 00:59:43,,,2910,Positive,0.23
62,"On the request of BJP n 2013, outline of their lotus symbol was made bolder including the water lines below,though… https://t.co/Iyxq2E8a5H",2019-04-28 00:59:38,,,1,Neutral,0.0
63,"RT @India_Policy: Where @AtishiAAP Marlena appeals people to vote for even goons, if it helps to defeat BJP. All their new politics is redu…",2019-04-28 00:59:36,,,414,Positive,0.14
64,RT @shekarcm2: @Mighty_samsher @yazdaniashraf @t_d_h_nair @MandeepBajwa No brother BJP is dangerous to the common man.  Modi govt has loote…,2019-04-28 00:59:33,,,2,Negative,-0.45
65,"RT @AdvTahirSDPI: Modiji destroy all the institution in last 5yrs, ECI is the last one ,if u c schedule of Gen Ele it looks like it's made…",2019-04-28 00:59:31,,,1,Negative,-0.07
66,"RT @ShobhaBJP: Highly condemn the arrest of senior journalist Hemanth Kumar, police is targeting BJP Supporters on a fake letter case which…",2019-04-28 00:59:24,,,160,Negative,-0.13
67,"RT @AmitShah: Shatrughan Sinha has just gone to the Congress. When he was in BJP he used to talk about nationalism. Now, he says that Jinna…",2019-04-28 00:59:13,,,2204,Neutral,0.0
68,"RT @AmitShah: Naveen Babu led BJD government has robbed thousands of crores of money of poor Odia people in Chit Fund Scam.

Let BJP govern…",2019-04-28 00:59:09,,,921,Negative,-0.4
69,@BulwarkBoy @tufailelif @Mayavi101 My prediction for BJP is maximum 27 percent vote share! Seats have to wait and see.,2019-04-28 00:59:09,,,0,Neutral,0.0
70,Shiv Sena gives 200 out of 100 to BJP's LS poll manifesto https://t.co/MYUqNSkaKg https://t.co/qJz1GgZ3wM,2019-04-28 00:59:03,,,0,Neutral,0.0
71,RT @siddmh_TNIE: INTERVIEW | Congress is only fighting to benefit BJP: Raghav Chadha https://t.co/bO7SyGg6fy via @NewIndianXpress,2019-04-28 00:59:01,,,8,Neutral,0.0
72,"RT @amitabhsuman101: Guys!! Kindly don't forget Congress anti-Indian Manifesto. Tomorrow is the voting day, let's come out and vote in larg…",2019-04-28 00:58:59,,,4,Highly Positive,0.6
73,RT @smarket: There is a reason BJP lost its way between 2003 and 2010. Just look at these leaders who were influential back then- 1. Yashwa…,2019-04-28 00:58:46,,,1817,Neutral,0.0
74,"RT @nehasamee11: BJP politician #SakshiMaharaj, has forced the girl to stip off her clothes, gets the ticket to contest elections. Real fac…",2019-04-28 00:58:44,,,39,Negative,-0.05
75,"RT @AmitShah: Shatrughan Sinha has just gone to the Congress. When he was in BJP he used to talk about nationalism. Now, he says that Jinna…",2019-04-28 00:58:43,,,2204,Neutral,0.0
76,"RT @rishibagree: Excellent Meeting with @Sunil_Deodhar ,the man who single-handedly delivered Tripura to BJP. Sent by BJP President Amit Sh…",2019-04-28 00:58:33,,,644,Highly Positive,1.0
77,"RT @AmitShah: Seven highly decorated retired officers of Indian Armed Forces joined the BJP. I welcome them into the party fold.

This trus…",2019-04-28 00:58:29,,,2197,Positive,0.48
78,RT @Dilsedesh: Abba Dabba Jhabba candidate from Badaun contesting on BJP ticket she removes all doubts as she opens her mouth !!😂😂😂😂🙏🙏🙏 htt…,2019-04-28 00:58:24,,,225,Neutral,0.0
79,"RT @AmitShah: Shatrughan Sinha has just gone to the Congress. When he was in BJP he used to talk about nationalism. Now, he says that Jinna…",2019-04-28 00:58:22,,,2204,Neutral,0.0
80,@sardanarohit Jb BJP me the tb aisi bhool to nhin hoti thi!,2019-04-28 00:58:15,,,0,Neutral,0.0
81,"RT @zainabsikander: - @RahulGandhi ji
@ashokgehlot51 ji
@SachinPilot ji
So Muslims get beaten up and killed under BJP in Rajasthan.
And Mus…",2019-04-28 00:58:14,,,1123,Negative,-0.2
82,"RT @narendramodi: Thank you Kannauj and Hardoi for the unparalleled warmth. 

The first three phases have made SP, BSP and Congress very ne…",2019-04-28 00:58:07,,,2910,Positive,0.23
83,"RT @suchitrak: Dear Voters in #MumbaiNorthwest. 
Gajanan Kirtikar is the #BJP /Shiv Sena candidate with the bow &amp; arrow symbol while Sanjay…",2019-04-28 00:58:06,,,4267,Neutral,0.0
84,"RT @TimesNow: #AapKaAppeasement | Policy of Modi govt is for everyone: @CharuPragya, BJP https://t.co/aEOFEj2FK6",2019-04-28 00:58:03,,,24,Neutral,0.0
85,"@amitmalviya The only one who can beat him in lies is modiji, @RahulGandhi is a novice compared to him, in fact all… https://t.co/HJOWC0UYzy",2019-04-28 00:58:01,,,0,Neutral,0.0
86,"RT @LDAgarwal1: Reactions of ordinary voter, not linked to any political party or ideology, suggests there is a huge Sunami in favour of Na…",2019-04-28 00:58:00,,,9,Positive,0.05
87,"@YogiAdityanatha
n U.P, BJP govt has seen that builders, through whom BSP &amp; SP govts had looted NOIDA, continue to… https://t.co/D9iiGmIqTK",2019-04-28 00:58:00,76.84252, 28.397657,0,Neutral,0.0
88,Modi has forgotten Development of the country. He is keen only to build his personal image and power. Instead of at… https://t.co/RbyaO36yjB,2019-04-28 00:57:56,,,0,Neutral,0.0
89,"RT @IndianExpress: #Decision2019
#LokSabhaElections2019 

Mukesh Ambani's son Anant Ambani (centre) and BJP leader Kirit Somaiya (extreme l…",2019-04-28 00:57:49,,,492,Negative,-0.12
90,"RT @rishibagree: Excellent Meeting with @Sunil_Deodhar ,the man who single-handedly delivered Tripura to BJP. Sent by BJP President Amit Sh…",2019-04-28 00:57:46,,,644,Highly Positive,1.0
91,"RT @AmitShah: Shatrughan Sinha has just gone to the Congress. When he was in BJP he used to talk about nationalism. Now, he says that Jinna…",2019-04-28 00:57:38,,,2204,Neutral,0.0
92,@arunv2808 Mumbai Satta Market prediction is close to ur prediction of BJP seats https://t.co/VppLko18ev,2019-04-28 00:57:38,,,0,Neutral,0.0
93,"RT @mayankgandhi04: Bringing in Sadhvi Pragya at this time as candidate will backfire for BJP. Bad thinking.

Things were going smooth for…",2019-04-28 00:57:33,,,48,Negative,-0.15
94,RT @Neerajkundan: Welcome sir to @INCIndia  family and you will Definitely expose the anti dalit policies of BJP !! https://t.co/eANgZeokWl,2019-04-28 00:57:29,,,18,Positive,0.4
95,@sanjaygowda2 This is why you saffron Chowkidars are so dumb. One is a BJP leader in the photos &amp; it's a different… https://t.co/qKQl6HH9Tq,2019-04-28 00:57:26,,,0,Negative,-0.38
96,"RT @narendramodi: Yesterday began with programmes in the cultural nerve centre of India, Kashi. I addressed BJP workers and filed my nomina…",2019-04-28 00:57:24,,,3969,Positive,0.1
97,"RT @ShekharGupta: C-Voter poll predicts 220 for BJP now  against 282 in 2014...

BJP will be 80-100 seats shorter of its 2014 mark, the bra…",2019-04-28 00:57:22,,,566,Neutral,0.0
